# Simulation 15 (Up to date)
# 495 data points written for 53 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (23,1 m/s)
#
# Tempo (s),Altezza (m),Velocita' verticale (m/s),Accelerazione verticale (m/s²),Velocita' totale (m/s),Accelerazione totale (m/s²),Posizione sopravento (m),Posizione parallela al vento (m),Distanza laterale (m),Direzione laterale (°),Velocita' laterale (m/s),Accelerazione laterale (m/s²),Latitudine (°),Longitudine (°),Gravitational acceleration (m/s²),Angolo d'attacco (°),Tasso di rollio (°/s),Tasso di beccheggio (°/s),Tasso di impennaggio (°/s),Massa (g),Propellant mass (g),Momento di inerzia longitudinale (kg·m²),Momento di inerzia rotazionale (kg·m²),posizione CP  (cm),posizione CG (cm),Calibri del margine di stabilita' (?),Numero di Mach (?),Numero di Reynolds (?),Spinta (N),Forza d'attrito (N),Coefficiente d'attrito (?),Coefficiente d'attrito assiale (?),Coefficiente d'attrito causato dalla pressione (?),Coefficiente d'attrito di base (?),coefficiente della forza normale (?),coefficiente del momento di beccheggio (?),coefficiente del momento di impennaggio (?),coefficiente della forza laterale (?),coefficiente del momento di rollio (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Accelerazione di Coriolis  (m/s²),Reference length (cm),Reference area (cm²),Orientazione verticale (zenith) (°),Orientazione laterale (azimuth) (°),Velocita' del vento (m/s),Temperatura dell'aria (°C),Pressione dell'aria (mbar),Velocita' del suono (m/s),Intervallo di tempo della simulazione (s),Tempo del calcolo (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,-1.3028,0,1.3028,0,0,0,0,0,0,46.168,9.9593,9.8072,90,0,0,0,630.26,62.487,0.12375,7.3487e-4,NaN,68.957,NaN,0.0051619,145847,5.36,0,0.61164,0,0.030226,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6,28.274,90,0,NaN,14.87,1010.9,340.31,0.01,0.0080943
0.01,0,0,91.928,0,91.928,0,0,0,0,0,0,46.168,9.9593,9.8072,90,0,0,0,630.26,62.487,0.12375,7.3487e-4,NaN,68.957,NaN,0.0052631,148706,64.12,0,0.60874,0,0.030226,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6,28.274,90,0,NaN,14.87,1010.9,340.31,0.01,0.010782
0.02,0.0045973,0.9195,138.6,0.9195,138.6,0,0,0,0,0,0,46.168,9.9593,9.8072,63.266,0,0,0,630.1,62.324,0.12371,7.3485e-4,NaN,68.944,NaN,0.0060063,169706,93.515,9.8972e-4,0.58954,0.13705,0.030227,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.2871e-5,6,28.274,90,0,NaN,14.87,1010.9,340.31,0.01,0.013759
# Event LIFTOFF occurred at t=0.03 seconds
0.03,0.020725,2.3062,145.33,2.3062,145.33,0,0,0,0,0,0,46.168,9.9593,9.8072,38.886,0,0,0,629.73,61.954,0.12363,7.3481e-4,NaN,68.916,NaN,0.0087061,245988,97.705,0.0088801,0.54019,0.58524,0.030232,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.3293e-4,6,28.274,90,0,NaN,14.87,1010.9,340.31,0.01,0.017042
0.04,0.051057,3.7603,145.21,3.7603,145.21,0,0,0,0,0,0,46.168,9.9593,9.8072,26.738,0,0,0,629.28,61.506,0.12353,7.3476e-4,NaN,68.882,NaN,0.012373,349587,97.576,0.023569,0.49895,0.76909,0.030242,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.798e-4,6,28.274,90,0,NaN,14.87,1010.9,340.31,0.01,0.019464
0.05,0.095925,5.2133,145.15,5.2133,145.15,0,0,0,0,0,0,46.168,9.9593,9.8072,20.304,0,0,0,628.82,61.048,0.12342,7.3472e-4,NaN,68.847,NaN,0.016334,461512,97.481,0.042545,0.46962,0.79657,0.030256,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.2656e-4,6,28.274,90,0,NaN,14.869,1010.9,340.31,0.01,0.020424
0.06,0.15532,6.6655,145.07,6.6655,145.07,0,0,0,0,0,0,46.168,9.9593,9.8072,16.176,0,0,0,628.37,60.59,0.12332,7.3467e-4,NaN,68.813,NaN,0.020394,576219,97.386,0.064658,0.44799,0.77659,0.030276,0.12005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.7323e-4,6,28.274,90,0,NaN,14.869,1010.9,340.31,0.01,0.02256
0.07,0.22923,8.117,144.91,8.117,144.91,0,0,0,0,0,0,46.168,9.9593,9.8072,13.429,0,0,0,627.91,60.132,0.12321,7.3462e-4,NaN,68.778,NaN,0.024522,692856,97.239,0.088612,0.43114,0.73612,0.030299,0.12008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.1984e-4,6,28.274,90,0,NaN,14.869,1010.9,340.31,0.01,0.023624
0.08,0.31765,9.5669,144.42,9.5669,144.42,0,0,0,0,0,0,46.168,9.9593,9.8072,11.478,0,0,0,627.45,59.676,0.12311,7.3457e-4,NaN,68.743,NaN,0.028686,810494,96.882,0.11467,0.41755,0.69613,0.030328,0.12011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.6628e-4,6,28.274,90,0,NaN,14.868,1010.9,340.31,0.01,0.024586
