# Simulation 16 (Up to date)
# 493 data points written for 4 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (23,2 m/s)
#
# Tempo (s),Altezza (m),Velocita' verticale (m/s),Spinta (N)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,5.36
0.01,0,0,64.12
0.02,0.0045973,0.9195,93.515
# Event LIFTOFF occurred at t=0.03 seconds
0.03,0.020725,2.3062,97.705
0.04,0.051058,3.7604,97.576
0.05,0.095926,5.2133,97.481
0.06,0.15532,6.6656,97.386
0.07,0.22923,8.117,97.239
0.08,0.31765,9.5668,96.882
0.09,0.42054,11.012,96.519
0.099081,0.52648,12.319,96.193
0.1072,0.6312,13.484,95.898
0.11462,0.73514,14.544,95.626
0.12149,0.83851,15.525,95.437
0.12793,0.94146,16.442,95.508
# Event LAUNCHROD occurred at t=0.13401 seconds
0.13401,1.0441,17.309,95.626
0.14314,1.2079,18.611,95.802
0.15682,1.476,20.569,96.067
0.17735,1.9284,23.515,96.464
0.20814,2.7208,27.954,97.059
0.25432,4.1665,34.656,97.804
0.30432,6.0821,41.967,98.578
0.35432,8.3646,49.331,99.23
0.40432,11.016,56.728,99.318
0.45432,14.037,64.104,99.334
0.50432,17.426,71.444,99.35
0.55432,21.181,78.737,99.366
0.59924,24.864,85.247,99.379
0.63493,27.999,90.388,99.391
0.67036,31.291,95.464,99.08
0.71322,35.513,101.54,97.954
0.76322,40.764,108.48,96.712
0.81322,46.358,115.25,95.571
0.85504,51.292,120.76,94.63
0.889,55.468,125.14,93.686
0.93102,60.838,130.44,92.543
0.98102,67.513,136.55,91.174
1.031,74.489,142.45,89.591
1.0747,80.818,147.39,87.993
1.1247,88.324,152.82,86.287
1.1747,96.095,158,84.58
1.2247,104.12,162.93,81.874
1.2747,112.38,167.51,69.27
1.3247,120.84,170.9,49.006
1.3747,129.43,172.47,34.987
1.4247,138.06,172.78,26.563
1.4747,146.69,172.37,21.962
1.5247,155.28,171.57,20.276
1.5747,163.84,170.64,19.041
1.6247,172.35,169.64,16.388
1.6747,180.8,168.44,7.8423
1.7247,189.17,166.53,1.2469
1.7747,197.44,164.1,0.20987
# Event BURNOUT occurred at t=1.8247 seconds
1.8247,205.58,161.65,0
1.8747,213.6,159.25,0
1.9247,221.51,156.9,0
1.9747,229.29,154.62,0
2.0247,236.97,152.4,0
2.0747,244.54,150.23,0
2.1247,251.99,148.11,0
2.1747,259.35,146.04,0
2.2247,266.6,144.02,0
2.2747,273.75,142.05,0
2.3247,280.8,140.11,0
2.3747,287.76,138.22,0
2.4247,294.63,136.38,0
2.4747,301.4,134.57,0
2.5247,308.08,132.79,0
2.5747,314.68,131.05,0
2.6247,321.19,129.35,0
2.6747,327.62,127.68,0
2.7247,333.96,126.04,0
2.7747,340.22,124.44,0
2.8247,346.4,122.86,0
2.8747,352.51,121.31,0
2.9247,358.53,119.79,0
2.9747,364.49,118.3,0
3.0247,370.36,116.83,0
3.0747,376.17,115.39,0
3.1247,381.9,113.97,0
3.1747,387.57,112.58,0
3.2247,393.16,111.21,0
3.2747,398.69,109.86,0
3.3247,404.15,108.53,0
3.3747,409.54,107.23,0
3.4247,414.87,105.94,0
